index,category,image_url,product_url,title,writer,genre,is_exclusive,discount,sale_price,original_price,copies_sold,rating,review_count
50,default,https://doujin-assets.dmm.co.jp/digital/cg/d_692327/d_692327pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_692327/,女騎士をイカせる異世界絶頂させ師！,砂漠×少女,CG,False,,,770,846,,
51,default,https://doujin-assets.dmm.co.jp/digital/cg/d_191477/d_191477pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_191477/,続・母がソープに堕ちてました。〜もう一人の爆乳母、未亡人江利の場合〜,子豚の館,CG,False,50%OFF,495,990,11206,,16
52,default,https://doujin-assets.dmm.co.jp/digital/cg/d_521719/d_521719pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_521719/,居候してきた巨乳ギャルとP活SEXを始めたら段々お互い好きになっていき孕ませた話。,Umour,CG,True,94%OFF,50,880,25168,,7
53,default,https://doujin-assets.dmm.co.jp/digital/cg/d_511539/d_511539pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_511539/,寝取られた僕の妻は元1000年に1人のアイドルでした,くりーむがろん,CG,True,50%OFF,990,1980,14787,,69
54,default,https://doujin-assets.dmm.co.jp/digital/cg/d_329372/d_329372pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_329372/,路地裏の子 -記録-,-A,CG,True,50%OFF,440,880,3966,,24
55,default,https://doujin-assets.dmm.co.jp/digital/cg/d_702926/d_702926pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_702926/,ギャルのビッチな身代わり性交,Project mo/t,動画,True,,,2200,54,,1
56,default,https://doujin-assets.dmm.co.jp/digital/cg/d_645942/d_645942pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_645942/,水蘭児凌●,正経同人,動画,False,50%OFF,1100,2200,1636,,2
57,default,https://doujin-assets.dmm.co.jp/digital/cg/d_616074/d_616074pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_616074/,Tiramisu CG 完全版［100作品］コレクション,Tiramisu,CG,True,50%OFF,8800,17600,468,,
58,default,https://doujin-assets.dmm.co.jp/digital/cg/d_212286/d_212286pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_212286/,義母の排卵日〜豊満すぎるデカ乳母と、脆弱すぎた僕の理性〜,子豚の館,CG,False,50%OFF,495,990,21500,,36
59,default,https://doujin-assets.dmm.co.jp/digital/cg/d_384027/d_384027pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_384027/,ヤリアプリ好きな娘選んで即ハメハーレム,やまなし娘。,CG,True,95%OFF,49,990,6891,,2
60,default,https://doujin-assets.dmm.co.jp/digital/cg/d_692347/d_692347pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_692347/,あの日以降、弟の同級生が毎週泊まりにくる モーションコミック版,survive,動画,False,,,1980,310,,
